Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Finland,1.087120056,1.094009995,1.106099963,1.091689944,1.086130023,1.077929974,1.092210054,1.073989987,1.051959991,1.047700047,1.04842,1.05447,1.0566,1.05271,1.02023,1.02006,1.02063,1.02225,1.0224,1.02357,1.02248,1.02109,1.02188,1.05432,1.05676,1.05718,1.05761,1.05626,1.06259,
Mali,0.583769977,0.585460007,0.572730005,0.59780997,0.610889971,0.646740019,0.63854003,0.63312,0.665750027,0.678139985,0.70377,0.70411,0.7081,0.7123,0.73416,0.74574,0.75883,0.7783,0.78251,0.79075,0.80729,0.81824,0.81851,0.82185,0.83934,0.86426,0.83802,0.86822,0.8764,
