CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638,8228.01157,9272.629304
Bahrain,20722.13729,22514.23795,23654.35139,24744.35763,24989.40012,22688.9444,22619.11667,23715.48275,24050.75751
"Bahamas, The",28443.40766,28006.37972,29485.62093,28944.78822,29563.74635,31512.85655,31325.29483,31857.89015,
Bosnia and Herzegovina,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277546,4994.68314,5394.59122,5951.323299
Belarus,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6289.938553
Belize,4331.434517,4501.602637,4626.709615,4652.509003,4790.941262,4883.179011,4904.034338,4956.808039,5025.1781
Bermuda,88207.32756,85973.15842,85458.45551,85748.06541,,,,,
Bolivia,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949,3351.124053,3548.59014
Brazil,11286.24302,13245.61553,12370.0242,12300.32258,12112.5903,8814.000987,8712.887044,9880.946543,8920.762105
Barbados,16056.01653,16470.3679,16412.9362,16224.28736,16179.58396,16066.4718,15847.14272,16327.60723,
Brunei Darussalam,35269.55311,47055.84112,47741.90647,44740.08502,41726.78397,31164.56203,27157.34623,28572.10942,31627.74208
Bhutan,2312.860096,2625.433256,2599.396094,2532.015642,2749.352665,2829.891245,3012.961401,3390.714075,3360.266867
Botswana,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234,7243.856017,7893.675933,8258.641666
Central African Republic,487.9453833,551.0280576,565.8330584,382.3403002,426.6845621,380.4042935,406.5319611,471.6032278,509.9709748
Canada,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439,42279.90082,45069.92725,46210.54762
Central Europe and the Baltics,12567.405,13872.61541,12998.66527,13710.08062,14152.39383,12467.45018,12773.78384,14167.6491,15913.23168
Switzerland,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80037.50304,80333.44494,82838.92944
Channel Islands,,,,,,,,,
Chile,12808.03459,14637.24024,15351.55133,15842.94009,14670.99718,13574.1715,13748.0884,15037.35011,15923.35906
China,4550.453596,5618.132491,6316.918863,7050.64592,7651.366044,8033.388043,8078.790474,8759.041578,9770.847088
Cote d'Ivoire,1211.930285,1207.001398,1243.344509,1415.469277,1559.386652,1426.457845,1481.652305,1557.182948,1715.531238
Cameroon,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277,1363.403851,1421.587492,1526.875713
"Congo, Dem. Rep.",334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404,467.0742375,561.7771824
"Congo, Rep.",2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,1761.32357,1814.063418,1702.571349,2147.769461
Colombia,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,6175.87603,5871.223524,6375.932063,6651.291293
Comoros,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1271.057042,1287.420965,1312.366174,1445.450809
Cabo Verde,3378.25486,3738.201166,3467.472684,3615.979041,3588.674054,3043.013984,3130.963385,3295.341106,3654.007345
Costa Rica,8141.913599,9121.931798,9913.210708,10490.08065,10547.15185,11299.13618,11666.45661,11752.5436,12026.54753
Caribbean small states,9075.706457,9743.619786,10007.37115,10090.02734,10149.19712,9916.666674,9242.035178,9442.912794,9910.397885
