CountryName,CountryCode,2014,2015,2016,2017
Angola,AGO,160.6504,157.2756,153.9008,150.526
Mali,MLI,174.9938,173.0382,171.0826,169.127
Chad,TCD,171.368,167.942,164.516,161.09
Niger,NER,195.061,192.22,189.379,186.538
BurkinaFaso,BFA,110.9764,108.7606,106.5448,104.329
CentralAfricaRepublic,CAF,134.7086,132.8304,130.9522,129.074
EquatorialGuinea,GNQ,162.3144,160.0836,157.8528,155.622
Zambia,ZMB,130.0624,126.7456,123.4288,120.112
