country,GDP,Adolescent_fertility_rate
Netherlands,48554.99228,3.788
Finland,45809.97338,5.813
Korea,29742.83886,1.379
Luxembourg,104498.7387,4.727
Belgium,100098.7387,4.651
Switzerland,25000.56,2.763
Cyprus,102236.5,4.582
